courseid;id_kategorie;cely_nazev_kurzu;short_code_kurzu;zacatek_kurzu;konec_kurzu;nazev_kategorie;kod_kurzu;kod_ved_urednik;kod_urednik;mesto;misto_konani;popis_kurzu;multi_date_course;cas_kurzu;druh_kurzu;zamekkod;max_students;Pocet_studentu;Pocet_ostatnich;Pocet_uspesnych_dokonceni;Pocet_osvedceni_a_certifikatu;Pocet_osvedceni;Pocet_certifikatu;Kontaktni_osoba;
855;13;Správní øád od A do Z – Agenda oprávnìnıch úøedních osob;;15.09.2020 09:00;15.09.2020 17:00;Jihoèeskı kraj;SRAO;AK/VE-95/2019;AK/PV-158/2019;Strakonice (okres Strakonice);Mìstskı úøad Strakonice, Velké námìstí 2, velká zasedací místnost (è. dveøí 1109);;;8;akreditovanı kurz;ANO;;53;2;0;0;0;0;Mgr. Petr Kuš ;
859;13;Vybrané otázky poskytování informací podle zákona è. 106/1999 Sb.;;22.10.2020 09:00;22.10.2020 17:00;Jihoèeskı kraj;VOPI;AK/VE-156/2019;AK/PV-255/2019;Trhové Sviny (okres Èeské Budìjovice);Mìstské kulturní støedisko, Sídlištì 710;;;8;akreditovanı kurz;NE;;1;1;0;0;0;0;Mgr. Petr Kuš ;
866;13;Sociální sluby z pohledu obcí  a krajù ;;01.10.2020 09:00;01.10.2020 17:00;Jihoèeskı kraj;SSOK;AK/VE-75/2020;AK/PV-116/2020;Èeskı Krumlov (okres Èeskı Krumlov);Mìstskı úøad Èeskı Krumlov, Kaplická 439, velká zasedací místnost, III. patro;;;8;akreditovanı kurz;NE;40;33;2;0;0;0;0;Mgr. Petr Kuš ;
870;13;Prùvodce veøejnımi zakázkami – Praktická aplikace institutù zákona o zadávání veøejnıch zakázek;;15.10.2019 09:00;15.10.2019 17:00;Jihoèeskı kraj;VZAI;AK/VE-83/2019;AK/PV-138/2019;;;;;8;akreditovanı kurz;NE;;0;1;0;1;1;0; / ;
889;13;Územní plánování v praxi územních samosprávnıch celkù;;10.09.2020 09:00;10.09.2020 17:00;Jihoèeskı kraj;ÚVPP;AK/VE-256/2019;AK/PV-401/2019;Èeskı Krumlov (okres Èeskı Krumlov);Mìstskı úøad Èeskı Krumlov, Kaplická 439, velká zasedací místnost, III. patro;;;8;akreditovanı kurz;NE;40;31;2;0;27;26;1;Mgr. Petr Kuš ;
897;13;Prùvodce veøejnımi zakázkami – Praktická aplikace institutù zákona o zadávání veøejnıch zakázek;;15.10.2019 09:00;15.10.2019 17:00;Jihoèeskı kraj;VZAI;AK/VE-83/2019;AK/PV-138/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;;8;akreditovanı kurz;NE;;36;0;36;0;0;0; / ;
983;13;Vybrané otázky poskytování informací podle zákona è. 106/1999 Sb.;;10.11.2020 09:00;10.11.2020 17:00;Jihoèeskı kraj;VOPI;AK/VE-156/2019;AK/PV-255/2019;Èeskı Krumlov (okres Èeskı Krumlov);Mìstskı úøad Èeskı Krumlov, Kaplická 439, velká zasedací místnost, III. patro;;;8;akreditovanı kurz;NE;;2;1;0;0;0;0;Mgr. Petr Kuš ;
1230;13;Nejèastìjší problémy uplatòování DPH u obcí;PROBDPH_20190328;28.03.2019 08:00;28.03.2019 16:00;Jihoèeskı kraj;;;;Cehnice (okres Strakonice);;;;8;;NE;;20;1;20;0;0;0; / ;
1295;13;Správní øád od A do Z – Vady øízení;;14.05.2019 09:00;14.05.2019 17:00;Jihoèeskı kraj;SRVØ;AK/VE-96/2019;AK/PV-159/2019;Pacov (okres Pelhøimov);;;;8;akreditovanı kurz;NE;;27;1;27;0;0;0; / ;
1311;13;Archivnictví a spisová sluba územních samosprávnıch celkù;;30.05.2019 08:30;30.05.2019 16:30;Jihoèeskı kraj;ASUS;AK/VE-104/2019;AK/PV-171/2019;Pacov (okres Pelhøimov);;;;8;akreditovanı kurz;NE;;23;1;23;0;0;0; / ;
1328;13;Základní principy fungování obce;;05.06.2019 09:00;05.06.2019 17:00;Jihoèeskı kraj;ZPFO;AK/VE-79/2019;AK/PV-134/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;20.01.642403 10:32;8;akreditovanı kurz;NE;;9;0;9;0;0;0; / ;
1329;13;Základní principy fungování obce;;26.06.2019 09:00;26.06.2019 17:00;Jihoèeskı kraj;ZPFO;AK/VE-79/2019;AK/PV-134/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;20.01.642403 10:32;8;akreditovanı kurz;NE;;8;0;0;0;0;0; / ;
1351;13;Správní øád od A do Z – Opravné prostøedky;;20.06.2019 09:00;20.06.2019 17:00;Jihoèeskı kraj;SROP;AK/VE-105/2019;AK/PV-172/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;;8;akreditovanı kurz;NE;;26;1;26;0;0;0; / ;
1363;13;Prùvodce veøejnımi zakázkami – Úvod do problematiky zadávání veøejnıch zakázek;;27.08.2019 09:00;27.08.2019 17:00;Jihoèeskı kraj;VZUP;AK/VE-82/2019;AK/PV-137/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;;8;akreditovanı kurz;NE;;15;1;15;0;0;0; / ;
1366;13;Správní øád v rozhodovací praxi orgánù územních samosprávnıch celkù - základní modul;;03.09.2019 09:00;03.09.2019 17:00;Jihoèeskı kraj;SRZM;AK/VE-37/2019;AK/PV-59/2019;Blatná (okres Strakonice);;;20.01.642403 17:20;8;akreditovanı kurz;NE;;35;1;36;0;0;0; / ;
1367;13;Správní øád v rozhodovací praxi orgánù územních samosprávnıch celkù - základní modul;;01.10.2019 09:00;01.10.2019 17:00;Jihoèeskı kraj;SRZM;AK/VE-37/2019;AK/PV-59/2019;Blatná (okres Strakonice);;;20.01.642403 17:20;8;akreditovanı kurz;NE;;35;0;0;0;0;0; / ;
1379;13;Støet zájmù a podjatost ve veøejné správì;;10.09.2019 09:00;10.09.2019 17:00;Jihoèeskı kraj;SZAP;AK/VE-166/2019;AK/PV-286/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;;7;akreditovanı kurz;NE;;34;1;34;0;0;0; / ;
1400;13;Støet zájmù a podjatost ve veøejné správì;;10.10.2019 09:00;10.10.2019 17:00;Jihoèeskı kraj;SZAP;AK/VE-166/2019;AK/PV-286/2019;Èeské Budìjovice (okres Èeské Budìjovice);;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
